timestamp,src_ip,dest_ip,protocol,bytes,threat_label,message
2025-01-04 20:52:29,192.168.1.230,10.0.0.167,HTTP,4182,benign,Normal network activity
2025-01-02 13:45:55,192.168.1.83,10.0.0.28,HTTP,90,benign,Normal network activity
2025-01-06 19:04:09,192.168.1.7,10.0.0.26,HTTPS,5795,benign,Normal network activity
2025-01-12 19:17:40,192.168.1.127,10.0.0.182,TCP,9233,benign,Normal network activity
2025-01-10 10:08:00,192.168.1.46,10.0.0.170,HTTPS,8111,benign,Normal network activity
2025-01-01 13:13:25,192.168.1.14,10.0.0.122,HTTPS,177,benign,Normal network activity
2025-01-13 22:51:31,192.168.1.185,10.0.0.61,UDP,2249,benign,Normal network activity
2025-01-01 10:01:53,192.168.1.85,10.0.0.124,HTTPS,1993,benign,Normal network activity
2025-01-19 04:55:05,192.168.1.132,10.0.0.215,TCP,2313,benign,Normal network activity
2025-01-22 14:33:04,192.168.1.27,10.0.0.179,HTTPS,1178,malicious,Potential phishing attempt
2025-01-09 11:42:24,192.168.1.57,10.0.0.146,TCP,7580,benign,Normal network activity
2025-01-20 03:30:42,192.168.1.130,10.0.0.12,UDP,236,malicious,Potential phishing attempt
2025-01-03 23:18:36,192.168.1.86,10.0.0.62,UDP,8557,benign,Normal network activity
2025-01-30 13:50:52,192.168.1.91,10.0.0.59,TCP,5006,malicious,Potential phishing attempt
2025-01-04 21:35:22,192.168.1.35,10.0.0.202,ICMP,2880,benign,Normal network activity
2025-01-08 10:32:51,192.168.1.126,10.0.0.154,UDP,3166,benign,Normal network activity
2025-01-03 20:03:09,192.168.1.83,10.0.0.183,ICMP,7844,benign,Normal network activity
2025-01-22 19:29:38,192.168.1.189,10.0.0.227,TCP,8096,benign,Normal network activity
2025-01-23 07:54:10,192.168.1.235,10.0.0.83,TCP,1038,benign,Normal network activity
2025-01-11 23:13:43,192.168.1.21,10.0.0.241,TCP,575,malicious,Malicious payload detected
2025-01-24 07:58:17,192.168.1.231,10.0.0.168,ICMP,4614,benign,Normal network activity
2025-01-25 23:40:04,192.168.1.241,10.0.0.92,UDP,3450,benign,Normal network activity
2025-01-12 11:10:17,192.168.1.111,10.0.0.232,ICMP,426,benign,Normal network activity
2025-01-19 23:57:56,192.168.1.221,10.0.0.62,HTTPS,2190,malicious,Suspicious traffic observed
2025-01-16 17:01:50,192.168.1.126,10.0.0.248,ICMP,3791,benign,Normal network activity
2025-01-03 03:51:06,192.168.1.119,10.0.0.33,TCP,3416,benign,Normal network activity
